city,date,fare,ride_id
Stewartview,1/30/16 4:01,6.28,1.19E+12
New Jeffrey,5/17/16 8:07,21.4,6.44E+11
Davidtown,10/13/16 23:41,10.56,2.83E+12
Arnoldview,11/18/16 12:47,4.92,8.53E+12
Swansonbury,10/14/16 12:46,30.17,8.69E+12
New David,9/11/16 15:12,22.16,2.63E+12
Port Samantha,3/3/16 8:04,11.95,9.68E+12
Port Johnstad,9/29/16 11:48,35.67,9.85E+12
Nguyenbury,5/12/16 15:57,41.63,2.25E+11
Sarabury,6/22/16 16:24,23.94,6.15E+12
Torresshire,11/27/16 18:13,16.04,7.45E+12
Lake Jeffreyland,2/29/16 19:08,41.18,5.93E+11
Stewartview,2/3/16 7:47,14.78,8.86E+12
Russellport,9/18/16 11:54,23.41,3.92E+12
Smithhaven,4/16/16 11:09,7.43,5.77E+12
Lake Sarashire,8/25/16 4:25,4.27,6.74E+12
Wiseborough,2/23/16 2:21,4.06,5.77E+12
Lake Sarashire,7/28/16 11:27,40.77,4.89E+11
New Jeffrey,7/1/16 22:39,34.02,3.64E+12
Lisaville,3/14/16 19:58,36.95,6.37E+12
Alvarezhaven,8/18/16 7:12,20.74,3.57E+11
Carrollfort,10/9/16 8:58,4.56,9.54E+11
Carrollfort,8/24/16 5:23,44.26,2.31E+12
Kelseyland,8/9/16 18:19,17.91,8.78E+12
Swansonbury,4/3/16 23:58,36.5,3.85E+12
New Maryport,3/16/16 5:00,38.55,1.52E+12
Port Johnstad,10/14/16 10:57,19.6,2.81E+12
Zimmermanmouth,9/19/16 2:40,16.21,4.97E+12
East Douglas,9/19/16 9:23,34.17,8.61E+12
Kelseyland,10/24/16 15:15,33.56,4.80E+12
Travisville,3/29/16 11:14,12.26,2.81E+12
Mooreview,8/28/16 8:58,16.54,4.56E+12
Alyssaberg,11/25/16 17:30,25.27,2.04E+12
Williamshire,10/1/16 15:14,10.67,9.93E+12
East Erin,2/15/16 16:23,40.94,8.04E+12
Sarabury,1/27/16 17:46,16.39,8.22E+12
Williamshire,1/12/16 4:22,35.94,7.08E+12
Antoniomouth,3/5/16 2:55,19.91,6.45E+11
West Sydneyhaven,4/8/16 1:17,20.06,4.86E+12
Sandymouth,3/7/16 23:43,5.72,7.96E+12
Torresshire,11/16/16 9:35,17.84,9.44E+12
Kelseyland,6/6/16 13:54,20.81,9.81E+12
Stewartview,2/11/16 13:11,35.86,7.77E+12
Pamelahaven,9/29/16 11:08,12.82,2.55E+12
West Brandy,2/3/16 20:21,35.59,6.78E+12
West Jefferyfurt,2/9/16 5:04,22.54,8.63E+11
East Erin,6/3/16 19:16,7.84,7.26E+12
Spencertown,5/24/16 21:33,31.76,8.58E+12
Alyssaberg,9/9/16 14:29,25.85,1.04E+12
Lake Jeffreyland,5/24/16 7:38,10.99,9.24E+12
South Roy,7/6/16 7:37,21.04,9.00E+11
East Erin,7/1/16 20:56,19.79,6.31E+12
Lisatown,11/29/16 5:03,25.37,8.79E+12
East Douglas,2/10/16 3:30,33.08,3.36E+12
Jacobfort,5/27/16 12:40,38.52,3.06E+12
South Bryanstad,11/30/16 8:27,19.24,9.28E+12
Mooreview,11/29/16 5:43,32.91,2.69E+12
Lake Stevenbury,1/11/16 19:57,41.05,5.28E+12
Vickimouth,12/2/16 5:12,36.72,2.88E+12
East Douglas,8/21/16 22:32,7.9,4.79E+12
South Louis,8/5/16 11:29,28.07,1.49E+12
Torresshire,6/5/16 15:15,29.85,1.54E+12
Spencertown,2/12/16 21:25,30.82,8.23E+12
West Dawnfurt,5/21/16 23:19,14.49,6.41E+12
Rodriguezburgh,4/24/16 3:23,18.91,9.06E+12
New Jeffrey,9/28/16 6:19,18.42,2.26E+12
Kellershire,11/8/16 4:54,6.21,9.86E+12
Spencertown,2/7/16 12:18,44.67,6.14E+12
West Oscar,5/27/16 0:31,11.18,2.38E+12
West Oscar,1/18/16 23:15,23.67,9.04E+12
Kellershire,11/9/16 16:14,11.52,6.54E+12
Jacobfort,11/15/16 14:39,10.12,2.62E+12
Arnoldview,6/30/16 21:18,36.65,1.73E+12
West Alexis,3/1/16 5:36,25.93,9.84E+11
South Josephville,10/6/16 3:53,28.19,2.60E+12
New Christine,5/29/16 15:42,14.9,3.59E+12
South Louis,9/11/16 16:28,22.08,7.45E+12
Williamshire,7/5/16 10:54,28.32,5.68E+12
East Douglas,11/14/16 13:10,22.83,4.92E+12
Yolandafurt,2/28/16 11:02,36,6.31E+12
Lake Sarashire,3/17/16 11:47,16.67,1.79E+12
Torresshire,10/2/16 1:20,5.45,7.86E+12
New Maryport,2/7/16 16:58,21.94,1.13E+12
West Oscar,8/19/16 15:24,26.3,1.57E+12
Kimberlychester,8/17/16 13:49,39.29,7.66E+12
Williamshire,1/19/16 13:24,28.73,3.63E+12
Kimberlychester,1/13/16 1:17,41.06,3.47E+12
Prattfurt,1/22/16 8:38,12.49,8.75E+12
Zimmermanmouth,7/23/16 19:20,28.89,1.53E+12
Zimmermanmouth,5/4/16 18:32,20.96,6.49E+12
Lake Jeffreyland,8/3/16 19:10,37.24,7.17E+12
New Andreamouth,1/10/16 16:33,41.15,8.73E+12
Lake Jennaton,12/2/16 20:30,7.37,4.33E+12
Antoniomouth,8/27/16 6:53,33.31,6.66E+12
New David,10/15/16 12:01,25.55,5.57E+12
Antoniomouth,8/19/16 14:45,20.67,5.23E+12
Smithhaven,6/23/16 8:23,15.18,8.20E+12
Edwardsbury,8/3/16 22:39,19.85,3.68E+12
Jacobfort,8/8/16 12:21,16.87,2.84E+12
Williamshire,10/12/16 20:05,43.59,5.75E+12
Torresshire,1/21/16 6:22,13.88,3.85E+12
Maryside,1/22/16 17:16,17,3.25E+12
West Oscar,8/16/16 3:32,9.08,3.87E+12
South Josephville,3/11/16 23:05,29.12,7.48E+12
Lake Stevenbury,5/1/16 21:55,15.75,7.03E+12
Jacobfort,7/19/16 22:19,20.36,3.07E+12
Port Samantha,10/5/16 2:16,6.99,3.73E+12
South Louis,10/11/16 0:43,4.54,3.59E+12
Port Samantha,3/7/16 7:34,39.5,3.55E+12
South Josephville,3/24/16 18:38,13.73,1.49E+12
Alvarezhaven,4/4/16 23:45,14.25,6.43E+12
West Peter,4/12/16 16:00,7.51,7.11E+12
Kimberlychester,10/22/16 2:54,19.07,6.70E+12
Lake Jeffreyland,5/15/16 14:22,17.85,8.50E+12
West Brittanyton,1/16/16 22:15,37.64,8.41E+12
West Oscar,5/27/16 18:18,11.4,5.32E+12
Lisatown,7/10/16 3:14,40.36,1.80E+12
South Josephville,8/28/16 4:52,38.51,4.25E+12
Kelseyland,8/10/16 7:02,44.53,1.56E+12
Arnoldview,9/18/16 10:09,37.37,2.40E+12
Stewartview,1/1/16 9:25,6.83,7.89E+12
Sarabury,4/26/16 11:31,21.8,5.97E+12
Spencertown,3/28/16 6:14,42.67,1.24E+12
Yolandafurt,11/20/16 11:01,24.95,3.74E+12
Eriktown,6/24/16 6:41,40.41,24231019266
Torresshire,9/20/16 12:58,8.31,3.85E+12
South Roy,1/29/16 17:29,18.61,5.08E+12
Rodriguezburgh,2/28/16 23:49,9.86,1.78E+12
Aprilchester,2/20/16 19:30,27.84,3.70E+12
Alvarezhaven,10/31/16 5:33,20.23,4.35E+12
Pamelahaven,9/21/16 3:18,13.95,8.12E+12
Fosterside,11/7/16 0:00,17.92,7.42E+12
East Douglas,9/29/16 14:23,21.49,9.99E+12
Mooreview,8/29/16 3:50,16.43,2.39E+12
Carrollfort,1/24/16 13:10,7.15,4.14E+12
South Louis,10/29/16 18:46,30.73,3.07E+12
New Jeffrey,6/6/16 14:29,34.35,7.22E+11
Swansonbury,10/20/16 2:30,11.29,5.30E+12
Mooreview,5/6/16 2:19,38.1,9.85E+12
Lake Jennaton,10/17/16 9:44,16.98,8.34E+12
Davidtown,7/3/16 17:33,17.6,9.78E+12
East Erin,8/7/16 6:28,12.56,3.38E+12
Rodriguezburgh,5/30/16 18:12,14.51,8.43E+12
Mooreview,6/19/16 7:05,39.02,4.56E+12
Spencertown,7/23/16 0:02,7.74,8.39E+12
Williamshire,4/21/16 20:53,12.62,8.43E+12
New Aaron,8/12/16 22:11,12.53,7.86E+12
Vickimouth,4/27/16 9:28,31.47,1.72E+11
Arnoldview,5/17/16 16:41,17.7,5.26E+12
Kimberlychester,3/19/16 22:17,10.33,3.84E+12
Lisatown,11/13/16 9:11,16.36,5.30E+12
South Roy,6/3/16 17:48,43.5,5.32E+12
Davistown,2/9/16 6:40,29.58,6.52E+12
Torresshire,6/7/16 11:48,23.86,3.00E+12
Antoniomouth,5/2/16 17:52,8.43,4.18E+12
Lisatown,1/7/16 9:55,18.64,5.46E+12
Lisatown,5/19/16 12:41,20.22,4.07E+12
Port Johnstad,11/6/16 21:03,10.58,8.04E+12
Davidtown,10/18/16 12:27,14.48,8.27E+12
Travisville,10/28/16 9:02,35.69,6.80E+12
Sandymouth,4/10/16 14:31,5.42,4.36E+12
Swansonbury,9/24/16 8:14,13.77,3.91E+12
West Brandy,6/22/16 20:17,26.96,9.89E+12
West Brandy,10/19/16 14:01,27.77,9.20E+12
Alyssaberg,5/27/16 5:36,21.59,6.75E+12
West Oscar,6/28/16 2:11,25.68,6.16E+11
Edwardsbury,6/8/16 9:17,39.28,4.32E+12
Swansonbury,3/12/16 15:20,38.41,2.21E+12
Alyssaberg,7/7/16 1:18,7.18,6.22E+11
Kelseyland,7/5/16 17:37,29.02,6.90E+12
Smithhaven,5/16/16 10:13,5.39,9.85E+12
Arnoldview,4/8/16 4:59,6.7,2.43E+12
Jacobfort,10/20/16 15:51,21.31,1.17E+11
Lisatown,4/16/16 11:51,44.98,4.10E+11
New Christine,6/30/16 4:33,17.33,7.26E+11
Sandymouth,8/21/16 1:56,35.97,1.98E+12
Sandymouth,6/27/16 13:58,38.59,1.27E+12
Sandymouth,7/1/16 0:43,37.75,8.24E+12
South Roy,8/23/16 8:57,6.73,1.83E+11
Zimmermanmouth,2/11/16 19:07,14.5,7.55E+12
Swansonbury,7/25/16 14:20,29.38,6.20E+12
Arnoldview,3/23/16 6:59,21.61,5.90E+11
Kimberlychester,7/21/16 14:54,23.55,9.28E+12
South Bryanstad,10/18/16 9:58,22.27,7.39E+12
Edwardsbury,7/5/16 10:59,42.67,6.07E+12
East Erin,9/25/16 7:45,27.75,9.26E+12
Davistown,1/26/16 20:57,18.24,4.21E+12
Lisaville,7/1/16 3:28,29.41,6.43E+12
Sandymouth,5/3/16 0:51,30.58,5.31E+12
Lake Jennaton,4/17/16 2:48,30.98,4.13E+12
Smithhaven,9/22/16 0:49,22.51,1.16E+12
West Brandy,6/2/16 16:31,6.82,6.19E+12
Carrollfort,4/10/16 7:24,18.01,2.94E+12
South Louis,2/25/16 14:35,39.4,8.09E+12
Maryside,9/13/16 14:45,37.61,1.48E+12
Davistown,7/23/16 22:14,24.76,6.22E+12
Kimberlychester,10/24/16 16:48,4.49,3.69E+12
Stewartview,2/28/16 4:05,13.46,4.42E+12
West Brittanyton,5/6/16 20:52,30.02,3.46E+11
Lake Stevenbury,1/5/16 10:15,8.47,1.25E+12
New David,2/28/16 1:45,31.83,9.64E+12
Williamshire,2/14/16 9:59,12.44,5.62E+12
West Brittanyton,11/10/16 7:06,4.13,8.15E+12
Zimmermanmouth,5/25/16 14:46,41.96,5.20E+12
Antoniomouth,10/22/16 1:49,6.05,1.70E+12
Travisville,6/17/16 9:02,19.79,6.02E+11
West Dawnfurt,10/18/16 2:10,43.77,1.01E+12
Kelseyland,4/25/16 2:18,20.05,1.15E+12
Russellport,7/11/16 8:01,37.34,9.63E+12
Sandymouth,11/24/16 10:24,41.22,2.82E+12
West Jefferyfurt,1/24/16 2:50,33.17,7.51E+12
West Brandy,7/5/16 4:36,13.56,7.15E+12
Prattfurt,1/21/16 22:17,35.32,2.85E+12
Lisaville,3/15/16 2:55,18.78,7.91E+12
West Dawnfurt,10/15/16 6:23,8.69,3.82E+12
Aprilchester,10/4/16 14:22,19.92,6.79E+12
Jacobfort,9/18/16 4:50,9.6,7.25E+12
Prattfurt,2/1/16 18:49,34.91,1.85E+12
West Peter,7/12/16 3:26,19.03,6.60E+12
East Erin,1/16/16 18:15,11.35,1.25E+12
Travisville,5/28/16 0:34,36.69,8.95E+11
Jacobfort,10/9/16 19:57,31.35,8.01E+12
Lake Sarashire,4/26/16 18:05,9.02,7.69E+12
Nguyenbury,4/7/16 6:59,19.01,4.65E+12
Kellershire,6/25/16 6:44,26.28,9.32E+12
Lake Stevenbury,3/5/16 14:09,27.68,7.16E+11
Lake Sarashire,7/9/16 5:23,21.92,1.01E+12
West Jefferyfurt,9/8/16 5:29,20.41,7.41E+11
Wiseborough,7/1/16 3:59,8.28,1.13E+12
Spencertown,3/4/16 7:28,44.15,2.93E+12
Carrollfort,11/29/16 19:04,23.59,9.66E+12
Jacobfort,11/18/16 16:19,37.31,6.74E+12
Wiseborough,11/26/16 17:24,7.42,6.77E+12
Jacobfort,11/10/16 5:11,22.1,3.64E+12
New Andreamouth,11/5/16 2:09,41.26,6.73E+12
Alyssaberg,10/28/16 0:13,40.47,7.11E+12
Williamshire,11/15/16 2:03,26.79,6.86E+12
New Christine,3/1/16 6:47,35.53,8.11E+11
Smithhaven,1/11/16 5:46,21.67,2.62E+12
Port Samantha,8/7/16 7:06,40.96,1.48E+12
New Aaron,10/11/16 2:49,13.03,6.75E+12
Nguyenbury,8/7/16 23:33,32.21,3.31E+12
Sarabury,8/14/16 19:56,7.83,4.98E+12
Swansonbury,11/22/16 10:34,33.17,4.97E+12
Kelseyland,1/25/16 8:47,9.29,2.14E+11
West Dawnfurt,3/30/16 2:38,43.05,8.27E+12
Swansonbury,10/9/16 4:32,42.58,4.95E+11
Port Samantha,6/15/16 20:23,29.34,7.03E+12
Lake Stevenbury,3/11/16 0:39,17.65,5.22E+12
Carrollfort,1/13/16 0:26,44.75,5.17E+11
New Maryport,9/13/16 9:09,40.93,4.39E+12
Swansonbury,9/10/16 13:14,28.62,4.57E+12
Nguyenbury,9/20/16 10:38,42.5,8.78E+12
East Erin,9/28/16 7:41,33.5,8.25E+11
Alyssaberg,7/21/16 13:43,18.02,5.82E+12
West Peter,8/1/16 23:45,19.16,2.87E+12
Alvarezhaven,5/26/16 11:36,39.28,8.88E+12
Travisville,8/6/16 13:51,9.49,3.55E+11
Stewartview,4/8/16 9:00,17.49,2.60E+12
Wiseborough,4/16/16 2:07,20.76,5.24E+11
Zimmermanmouth,8/9/16 4:35,26.63,2.33E+12
Spencertown,1/5/16 3:19,34.86,6.29E+12
West Brittanyton,8/9/16 7:46,19.17,5.49E+12
Torresshire,3/10/16 9:11,16.7,2.99E+12
Wiseborough,2/20/16 5:53,43.92,7.95E+12
Travisville,10/11/16 1:02,43.96,1.08E+12
Kimberlychester,7/26/16 1:07,30.08,8.32E+11
Russellport,1/4/16 8:24,26.01,1.08E+12
Lake Stevenbury,8/24/16 13:41,20.71,5.04E+12
South Josephville,8/31/16 4:27,32.65,2.48E+12
